snapshot_date,principle,total_value
2015-12-14,44096.73,82137.52
2015-12-15,44096.73,81943.78
2015-12-16,44096.73,81374.5
2015-12-17,44096.73,82711.29
2015-12-18,41251.78,79315.56
2015-12-19,41251.78,79315.56
2015-12-20,41251.78,79315.56
2015-12-21,28449.5,69628.85
2015-12-22,28449.5,70094.49
2015-12-23,28449.5,70341.85
2015-12-24,28449.5,69507.83
2015-12-25,28449.5,70017.36
2015-12-26,28449.5,70017.36
2015-12-27,28449.5,70017.36
2015-12-28,28449.5,68340.19
2015-12-29,28449.5,69828.22
2015-12-30,28449.5,70484.93
2015-12-31,28449.5,69529.3
2016-01-01,28449.5,69529.3
2016-01-02,28449.5,69529.3
2016-01-03,28449.5,69529.3
2016-01-04,36984.35,72047.48
2016-01-05,44096.73,78834.79
2016-01-06,49786.63,86063.78
2016-01-07,49786.63,79096.07
2016-01-08,49786.63,80151.12
2016-01-09,49786.63,80151.12
2016-01-10,49786.63,80151.12
2016-01-11,49786.63,75185.11
2016-01-12,49786.63,75736.37
2016-01-13,49786.63,74184.02
2016-01-14,54054.05,81492.13
2016-01-15,54054.05,78623.28
2016-01-16,54054.05,78623.28
2016-01-17,54054.05,78623.28
2016-01-18,54054.05,79190.99
2016-01-19,54054.05,81104.79
2016-01-20,54054.05,78562.4
2016-01-21,54054.05,75122.72
2016-01-22,56899,78827.52
2016-01-23,56899,78827.52
2016-01-24,56899,78827.52
2016-01-25,56899,80754.12
2016-01-26,58321.48,78166.51
2016-01-27,62588.9,82741.97
2016-01-28,62588.9,80564.73
2016-01-29,62588.9,85041.97
2016-01-30,62588.9,85041.97
2016-01-31,62588.9,85041.97
2016-02-01,62588.9,83234
2016-02-02,62588.9,86144.1
2016-02-03,62588.9,85580.23
2016-02-04,62588.9,86994.46
2016-02-05,62588.9,85007.4
2016-02-06,62588.9,85007.4
2016-02-07,62588.9,85007.4
2016-02-08,62588.9,85007.4
2016-02-09,62588.9,85007.4
2016-02-10,62588.9,85007.4
2016-02-11,62588.9,85007.4
2016-02-12,62588.9,85007.4
2016-02-13,62588.9,85007.4
2016-02-14,62588.9,85007.4
2016-02-15,64011.38,86141.15
2016-02-16,64011.38,89443.99
2016-02-17,64011.38,90035.03
2016-02-18,64011.38,89621.8
2016-02-19,64011.38,88942.85
2016-02-20,64011.38,88942.85
2016-02-21,64011.38,88942.85
2016-02-22,64011.38,91629.77
2016-02-23,64011.38,90704.31
2016-02-24,64011.38,90510.71
2016-02-25,64011.38,83511.66
2016-02-26,64011.38,84393.17
2016-02-27,64011.38,84393.17
2016-02-28,64011.38,84393.17
2016-02-29,68278.81,84358.73
2016-03-01,71123.76,89495.71
2016-03-02,71123.76,93853.46
2016-03-03,71123.76,93113.78
2016-03-04,71123.76,93840.52
2016-03-05,71123.76,93840.52
2016-03-06,71123.76,93840.52
2016-03-07,71123.76,95476.93
2016-03-08,71123.76,96845.78
2016-03-09,71123.76,94869.82
2016-03-10,71123.76,92390.02
2016-03-11,71123.76,92898.84
2016-03-12,71123.76,92898.84
2016-03-13,71123.76,92898.84
2016-03-14,71123.76,96881.34
2016-03-15,71123.76,97089.74
2016-03-16,71123.76,96430.84
2016-03-17,71123.76,99168.11
2016-03-18,71123.76,102112.5
2016-03-19,71123.76,102112.5
2016-03-20,71123.76,102112.5
2016-03-21,68278.81,103724.87
2016-03-22,68278.81,104018.46
2016-03-23,66856.33,103320.02
2016-03-24,66856.33,101963.26
2016-03-25,66856.33,102032.4
2016-03-26,66856.33,102032.4
2016-03-27,66856.33,102032.4
2016-03-28,66856.33,101141.07
2016-03-29,66856.33,99313.76
2016-03-30,66856.33,102746.05
2016-03-31,66856.33,102820.3
2016-04-01,66856.33,102002.52
2016-04-02,66856.33,102002.52
2016-04-03,66856.33,102002.52
2016-04-04,66856.33,102002.52
2016-04-05,66856.33,104979.91
2016-04-06,66856.33,105966.98
2016-04-07,66856.33,104140.81
2016-04-08,66856.33,104097.42
2016-04-09,66856.33,104097.42
2016-04-10,66856.33,104097.42
2016-04-11,64011.38,102331.36
2016-04-12,64011.38,101597.51
2016-04-13,64011.38,102554.12
2016-04-14,64011.38,103052.99
2016-04-15,64011.38,103102.06
2016-04-16,64011.38,103102.06
2016-04-17,64011.38,103102.06
2016-04-18,64011.38,101864.22
2016-04-19,42674.25,80630.94
2016-04-20,42674.25,78694.78
